5370|Serosa
6175|The proximal portion of the respiratory passages on either side of the nasal septum, lined with ciliated mucosa, extending from the nares to the pharynx. (MeSH)
5371|A membrane lining the external walls of the body cavities and reflected over the surfaces of protruding organs. It consists of mesothelium lying on a connective tissue layer, and secretes a watery exudate.
6176|nasal cavity
5372|Ninth Cranial Nerve
5373|Nervus Glossopharyngeus
6172|Endocrine Pancreas
6170|Subarachnoid Cistern
5378|Thoracodorsal Artery
6822|Orifice of Auditory Tube
6821|Orifice of Eustachian Tube
5379|Dorsal Thoracic Artery
6820|Orifice of the Auditory Tube
5374|Glossopharyngeal Nerve
5375|Cranial Nerve IX
6177|Nasal Cavity
6178|Dentate Gyrus
5377|Body of the Lateral Ventricle
6818|Gamma Motor Neuron
6819|Orifice of the Eustachian Tube
6816|Motor Neurons, Gamma-Efferent
6817|Motor Neurons, Gamma
6814|Motor neurons which activate the contractile regions of intrafusal muscle fibers, thus adjusting the sensitivity of the muscle spindles to stretch. (MeSH)
6815|Neurons, Fusimotor
6813|Corneal Endothelium
5361|Vein of Galen
6185|A transparent homogeneous acellular layer, 6 to 9 um thick, lying between the basal lamina of the outer layer of stratified epithelium and the substantia propria of the cornea; it is considered to be a basement membrane.
5362|Great Cerebral Vein of Galen
6186|Bowman's Membrane
6187|Quadrigeminal Artery
5360|External Carotid Artery Branch
6180|Nervous System Part
6181|Olfactory Basal Cells
6182|Olfactory Basal Cell
6183|A cell found in the pseudostratified epithelium lining the olfactory region of the nasal cavity. It gives rise to olfactory receptor cells and sustentacular cells.
889|Tonsil Part
5369|Serous Membrane
6811|Tonsillar Lymphoid Tissue
5368|Temporal Artery
6810|Lymphoid tissue of the tonsils. It is composed of B and T lymphocytes. Lymphoid follicles with germinal centers occupy the areas that are populated with B lymphocytes.
5366|Stratum Reticulare
6189|Cartilage Cell
5364|Cerebral Sulcus
6805|Saccule
890|Large Intestinal Lamina Propria
6807|Vestibular Ganglion
6808|Ganglion of Scarpa
6801|T4 Vertebra
6803|Intrahepatic Portion of the Right Hepatic Duct
6804|Alveolar Artery
898|Pericytes
899|Perivascular Cell
896|Transversalis
897|Adventitial Cell
895|Rib Tubercle
892|ileum
893|Ileum
6193|Eighth Cranial Nerve
879|Gum
878|Phagocyte
1111|Tissue characterized by a thick, random arrangement of collagen and elastin fibers with very few cells. The majority of the cells are fibroblasts, but mast cells and macrophages may also be seen. It is found in the dermis, periosteum, perichondrium, capsules of organs and sheaths of nerves and muscles.
6194|Cranial Nerve VIII
6191|Vestibulocochlear Nerve
1112|Irregular Dense Connective Tissue
6192|VIIIth Cranial Nerve
5391|Vein of the Head or Neck
1113|Superior Hypophyseal Artery
6197|Malpighian Capsule
989|Duct of Gartner
6198|Bowman's Capsule
5393|Intervertebral Disc
6195|Cranial Nerve Eight
5395|Stratum Papillare
5396|Nissl Body
6840|Neurons which activate muscle cells. (MeSH)
5398|Temporal Fossa
6199|Frontal Artery
6844|Marginal Zone of Lymph Node
6843|Marginal Zone of the Lymph Node
6841|Motor Neuron
6836|Motor Neurons
6837|Efferent Neuron
6835|Motor Cell
990|Articular Muscle
6838|Motoneuron
880|Gingiva
1108|The organ located between the esophagus and the small intestine where digestion of food occurs before passing to the small intestine.
881|The mucous membrane-covered tissue of the jaws that surrounds the bases of the teeth.
1107|Gastrointestinal Tract, Stomach
996|Helicotrema
997|Lateral Surface of the Prostate
884|Germinal Center B-Lymphocyte
998|Triceps Muscle
885|The liquid secreted by the sweat glands, having a salty taste and a pH that varies from 4.5 to 7.5. Sweat produced by the eccrine sweat glands is clear with a faint characteristic odor, and contains water, sodium chloride, and traces of albumin, urea, and other compounds. Its composition varies with many factors, e.g., fluid intake, external temperature and humidity, and some hormonal activity. Sweat produced by the larger, deeper, apocrine sweat glands of the axillae contains, in addition, organic material which on bacterial decomposition produces an offensive odor.
991|Ito Cell
6190|The eighth cranial nerve composed of the acoustic nerve and the vestibular nerve.  The nerve travels from the inner ear, enters the cranial cavity through the internal auditory foramen and joins the brainstem.  The auditory nerve conveys impulses from the cochlea of the inner ear to the auditory nuclei of the brainstem.  The vestibular nerve carries information from the labyrinths of the inner ear to the vestibular nuclei of the brainstem.
886|Sweat
1103|Bronchus Cartilage
992|Hepatic Stellate Cell
993|A star-shaped cell in the liver associated with the development of fibrosis. When stellate cells are activated in response to an injury, they proliferate and synthesize large amounts of extracellular matrix which results in deposition of scar or fibrous tissue.
1106|Stomach
887|Visceral Surface of the Liver
1105|stomach
1101|Mons Pubis
869|Epidermal Ridges
868|Rete Ridges
1100|Epigastric Artery
5383|Genicular Ganglia
5384|Facial Nerve Ganglion
5381|Geniculate Ganglion
999|Triceps
5382|Genicular Ganglion
5387|Posterior Surface of the Kidney
5388|Earwax
5385|External Carotid Artery
6831|Bone of Tympanum
6830|Bone of the Tympanum
5389|Cerumen
6832|Auditory Ossicle
6825|Buccal Artery
6826|Tarsal Bones
6827|Tarsal Bone
6828|Inferior Vermian Artery
6829|Fossa
872|Metatarsal Bone Digit 1
873|phagocyte
870|Epidermal Ridge
871|Portal Venous System
876|Phagocytic Cell
877|Phagocytes
874|amebocyte
875|Phagocytic cell
7305|External Ear Cartilage
5334|External Circumflex Artery
7306|Pubic Symphisis
6866|A flat, scale-like epithelial cell that lines the vaginal portion of cervix.
6139|One of the 4 layers of the crystalline lens. It is found between the anterior surface of the capsule and the cortex. It is simple cuboidal epithelium responsible for creating new cells for the lens.
6138|Subcapsular Epithelium of the Lens
6863|Special Sense Organ
5337|Deep Middle Cerebral Vein
7303|Exocrine Gland Fluid or Secretion
6864|Organ of Special Sense
5336|Cervical Curve
5331|Ceruminous Gland
7301|Left Hepatic Duct
6861|Round Ligament of the Liver
6136|Splenial Artery
6135|Left Common Iliac Artery
6134|Cell found within the glomerular lobules of mammalian kidney. Mesangial cells serve as structural supports, may regulate blood flow, are phagocytic and may act as accessory cells, presenting antigen in immune responses.
5333|Inferior Internal Articular Artery
4721|Perineum
5332|Temporal Muscle
6133|Mesangial Cell
7300|Falciform Ligament
6860|Lesser Multiangular Bone
966|Immature Monocyte
967|A cell derived from a myeloid stem cell. It is the representation of one stage of monocyte development.
6131|Quadratus Lumborum
968|A primitive, undifferentiated blood cell which can undergo division and tends to give rise to a blood cell of the monocyte lineage.
969|Bone Marrow Stem Cell with Some Commitment to Monocytic Differentiation
856|The upper jawbone in vertebrates: it is fused to the cranium.
857|Maxilla
864|optic nerve
970|Enteric Ganglion
4719|Frontal Bone
863|Seminal Vesicle Epithelium
866|Optic Nerve
865|Second Cranial Nerve
971|Reticuloendothelial System, Thymus
860|Vitreous Body
974|thymus
973|The thymus gland is part of the immune system.  It is composed of lymphoid tissue and epithelial cells. It consists of two irregularly shaped lobes united by a connective tissue capsule. Each lobe is subdivided by connective tissue septa into lobules, which consist of an inner medullary zone, continuous with the medullae of adjacent lobules, and an outer cortical zone. The cortex is rich in lymphocytes (thymocytes) and the medulla in epithelial cells. This gland is supplied by the inferior thyroid and internal thoracic arteries, and its nerves are derived from the vagus and sympathetic nerves. The thymus is the site of T-lymphocyte production, necessary in early life for the normal development of immunological function. The thymus reaches its greatest relative weight shortly after birth and its greatest absolute weight and maximal development at puberty. It then begins to involute resulting in a slow decline of immune function throughout adulthood.
976|Thymus Gland
861|Superior Cerebellar Cistern
975|Thymus Proper
4712|zoosperm
4711|Sperm
4714|sperm
4713|The male reproductive cell that is formed in the testicle. A sperm consists of a head, a body, and a tail that provides propulsion.
6859|Trapezoid
5327|Temporal Sulcus
6858|Trapezoid Bone
4715|S2 Vertebra
6857|A bone in the distal row of the carpus; it articulates with the second metacarpal, trapezium, capitate, and scaphoid. (On-line Medical Dictionary)
4718|Parieto-Occipital Artery
5329|Velum Interpositum Cistern
4717|Ciliary Muscle
6856|Mucus
6149|Spinal Canal
5326|Continent Reservoir
7314|Membranous Urethra
6852|Vestibular Labyrinth
6148|Vertebral Canal
6853|Immune System Part
5325|continent reservoir
5324|Autonomic Ganglia
7316|Sperm, Fluids, Secretions
5323|Autonomic Ganglion
7317|Male Genital System Fluids and Secretions
6855|mucus
6145|salivary glands
7310|Stromal Cells
6144|An exocrine gland that secretes saliva.  Salivary glands are mostly located in and around the oral cavity.
7311|Stromal Cell
5321|Deep Palmar Artery
6850|S4 Vertebra
7312|Connective tissue cells of an organ found in the loose connective tissue. These are most often associated with the uterine mucosa and the ovary as well as the hematopoietic system and elsewhere.
5320|External Cuneiform Bone of the Foot
6146|OTHER AND UNSPECIFIED MAJOR SALIVARY GLANDS
979|Right Lung Alveolus
6141|Salivary Glands
6140|Salivary Gland
849|Epimysium
977|Thymus
6142|Head and Neck, Salivary Glands
847|Metacarpal Bone Digit 3
848|Postgerminal Center Marginal Zone B-Lymphocyte
845|Oxyphilic Cell
846|Skeletal System Part
981|The connective tissue of the pelvic floor extending from the fibrous subserous coat of the supracervical portion of the uterus laterally between the layers of the broad ligament. (On-line Medical Dictionary)
4709|Spermatozoon
853|Head and Neck Muscle
852|Portal Lobule
980|Parametrium
4708|Spermatozoa
851|A triangular-shaped unit of hepatic tissue, containing portions of three adjacent hepatic lobules with the portal canal in the center. The portal canal is composed of the portal vein, hepatic artery, bile ductile, and lymph vessel. There is a central vein at the apex of each peripheral corner. Blood flows from the portal vein and hepatic artery towards the central vein. Bile flows in the opposite direction, towards the portal canal.
987|Cochlea
986|Cochlear Organ
985|Calcaneum
984|Trigonum Olfactorium
4703|Irregular connective tissue, the intercellular matrix of which contains a sparse irregular network of collagen and elastic fiber bundles.
4702|Mucosal Tissue of Human Prostate
6849|Reserve Cell
4701|The smallest functional unit of the liver, comprising all of the liver parenchyma supplied by a terminal branch of the portal vein and hepatic artery; typically involves segments of two lobules lying between two terminal hepatic venules.
4700|Liver Acinus
5318|Inguinal Region
4707|Decidua Parietalis
7307|Anal Canal
4706|Posterior Tibial Vein
6845|S5 Vertebra
5319|Groin
4705|Areolar Tissue
6848|T5 Vertebra
5317|groin
4704|Loose Connective Tissue
6847|Intrahepatic Portion of the Left Hepatic Duct
4740|A lymph node that drains lymph from a region of interest.
7323|A muscle cell precursor. It is essential for muscle repair.
6158|Primitive blood cells residing in the bone marrow, derived from embryonic mesenchyme, and capable of differentiating into any of the blood cell line progenitor cells (erythroblasts, young granulocytic series cells, megakaryocytes, etc.)
5353|The sex organs of the male.
4741|regional lymph node
6884|Spiral Organ of Corti
6157|Bone Marrow Stem Cell
5352|Penis and Other Genital
7324|Pubic Hair
4742|Regional Lymph Node
6881|Sacral Vertebra
6156|Bone Marrow Stem Cells
5355|Organ System, Male Reproductive
7321|Myoblast
4743|Basaloid Cell
5354|Male Reproductive Body System
6887|Infratentorial Cistern
7327|Ileal Vein
5357|male genital
5356|Genital System, Male
6888|A cell that can only differentiate to a particular type of cells (e.g. hematopoietic cells or epithelial cells). --2005
6885|Organ of Corti
5359|Anatomic Surface
7325|Choroid Plexus of the Lateral Ventricle
6159|Pineal Parenchyma
5358|Male Reproductive System
6886|Male Reproductive System Part
834|Seminiferous Epithelium
6150|pharynx
948|Spleen
836|oropharynx
837|Oropharynx
838|The part of the pharynx between the soft palate and the upper portion of the epiglottis.
6154|Lower Jaw Molar
944|Intrinsic Tongue Muscle Vertical Component
945|spleen
6880|Sacral Vertebrae
839|Oxyphil Cells
7320|Sperm and the fluid it is suspended in.
5351|Reproductive System, Male
946|An organ that is part of the hematopoietic and immune systems.  It is composed of the white pulp and the red pulp and is surrounded by a capsule.  It is located in the left hypochondriac region.  Its functions include lymphocyte production, blood cell storage, and blood cell destruction.
6152|Head and Neck, Pharynx
5350|Male Reproductive Organ System
6151|Pharynx
952|Calcarine Artery
840|Askenazy Cells
953|Aryepiglottic Muscle
842|A glandular cell with acidophilic cytoplasm that contains tightly packed mitochondria. Oxyphil cells are found in the thyroid gland (Hurthle cells) and parathyroid gland.
841|Oncocyte
844|Oxyphil Cell
950|Reticuloendothelial System, Spleen
843|Oncocytes
5349|Body System, Reproductive, Male
4738|Soft Palate
4737|A movable fold suspended from the posterior border of the hard palate. (MeSH)
7319|Genital System, Male, Fluids, Secretions
7318|Male Genital System Fluid or Secretion
6878|Infraspinatus
4734|Zone 1
4733|Zone 1 of Lliver Acinus
4735|Liver Acinus Zone 1
6167|Left Common Carotid Artery
6870|A type of bone tissue. There are two subtypes of mature bone - compact and spongy. Compact bone is very dense and hard on the outside. Compact bone forms the thick-walled tube of the shaft of long bones and covers the epiphyses of long bones. Spongy bone is lightweight and consists of trabeculae, which branch and intersect to form a sponge like network, and red bone marrow for hematopoiesis. Short bones and the epiphyses of long bones consist mainly of spongy bone.
7332|C6 Vertebra
5344|Temporary Tooth
4731|Inferior Rectus Muscle
6871|Atrioventricular Node
7333|Osteoclasts
6166|Quadriceps Muscle of the Thigh
