MA_0000001|mouse anatomy|
MA_0000002|spinal cord grey matter|
MA_0000003|organ system|
MA_0000004|trunk|1217
MA_0000005|body cavity/lining|
MA_0000006|head/neck|
MA_0000007|limb|1088
MA_0000008|tail|
MA_0000009|adipose tissue|
MA_0000010|cardiovascular system|679
MA_0000011|connective tissue|
MA_0000012|endocrine system|
MA_0000013|hemolymphoid system|659
MA_0000014|integumental system|
MA_0000015|muscle|
MA_0000016|nervous system|
MA_0000017|sensory organ|
MA_0000018|skeletal system|
MA_0000019|visceral organ system|
MA_0000020|back|
MA_0000021|abdomen/pelvis/perineum|138
MA_0000022|thorax|149
MA_0000023|head|
MA_0000024|neck|
MA_0000025|forelimb|
MA_0000026|hindlimb|
MA_0000027|lower back|
MA_0000028|upper back|
MA_0000029|abdomen|
MA_0000030|pelvis|
MA_0000031|chest|1728
MA_0000032|thoracic cavity|
MA_0000033|arm|
MA_0000034|lower arm|1636
MA_0000035|upper arm|
MA_0000036|elbow|
MA_0000037|hand|
MA_0000038|shoulder|
MA_0000039|wrist|
MA_0000040|carpus|
MA_0000041|hand digit|
MA_0000042|metacarpus|
MA_0000043|ankle|
MA_0000044|foot|
MA_0000045|hip|
MA_0000046|knee|
MA_0000047|leg|
MA_0000048|foot digit|
MA_0000049|metatarsus|
MA_0000050|tarsus|
MA_0000051|lower leg|
MA_0000052|upper leg|
MA_0000053|pericardial cavity|
MA_0000054|peritoneal cavity|
MA_0000055|pleural cavity|
MA_0000056|fat|
MA_0000057|brown fat|
MA_0000058|white fat|
MA_0000059|blood|
MA_0000060|blood vessel|614
MA_0000061|arterial blood vessel|
MA_0000062|aorta|
MA_0000063|arteriole|
MA_0000064|artery|
MA_0000065|capillary|
MA_0000066|venous blood vessel|
MA_0000067|vein|
MA_0000068|vena cava|
MA_0000069|venous plexus|
MA_0000070|venous sinus|
MA_0000071|venule|
MA_0000072|heart|
MA_0000073|heart atrium|
MA_0000074|heart left atrium|
MA_0000075|heart right atrium|
MA_0000076|heart endocardium|
MA_0000077|atrium endocardium|
MA_0000078|endocardial cushion|
MA_0000079|ventricle endocardium|
MA_0000080|heart myocardium|
MA_0000081|atrium myocardium|
MA_0000082|ventricle myocardium|
MA_0000083|heart septum|
MA_0000084|atrial septum|1694
MA_0000085|ventricular septum|1718
MA_0000086|heart valve|
MA_0000087|aortic valve|
MA_0000088|mitral valve|1626
MA_0000089|pulmonary valve|
MA_0000090|tricuspid valve|
MA_0000091|heart ventricle|
MA_0000092|heart left ventricle|
MA_0000093|heart right ventricle|
MA_0000094|impulse conducting system|
MA_0000095|atrioventricular node|1221
MA_0000096|purkinje fiber|
MA_0000097|sinoatrial node|1184
MA_0000098|mesocardium|
MA_0000099|pericardium|
MA_0000100|outflow tract|
MA_0000101|outflow tract aortic component|
MA_0000102|outflow tract pulmonary component|
MA_0000103|truncus arteriosus|
MA_0000104|cartilage|
